,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
7485,7491,https://www.alltrails.com/trail/us/montana/south-boundary-trail--2?ref=result-card,South Boundary Trail,Glacier National Park,4.0,easy,11.7,1433.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'fee']",Montana,4.7
7487,7493,https://www.alltrails.com/trail/us/montana/firebrand-trail-to-ole-creek?ref=result-card,Firebrand Trail to Ole Creek,Glacier National Park,4.0,hard,22.7,3100.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'scramble', 'fee', 'no dogs']",Montana,11.23
7490,7496,https://www.alltrails.com/trail/us/montana/upper-two-medicine-creek-loop?ref=result-card,Upper Two Medicine Creek Loop,Glacier National Park,4.0,moderate,10.9,849.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'lake', 'views', 'wildlife', 'fee', 'no dogs']",Montana,4.97
7494,7500,https://www.alltrails.com/trail/us/montana/daly-creek-trail?ref=result-card,Daly Creek Trail,Yellowstone National Park,4.5,moderate,10.9,1778.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,5.58
7504,7510,https://www.alltrails.com/trail/us/montana/glacier-national-park-east-side?ref=result-card,Mount Henry Trail and Scenic Point via East Glacier Park Village,Glacier National Park,4.0,hard,12.4,3106.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'running', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,7.1
7505,7511,https://www.alltrails.com/trail/us/montana/belly-river-trail?ref=result-card,Belly River Trail,Glacier National Park,4.5,moderate,15.3,1368.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,7.08
7514,7520,https://www.alltrails.com/trail/us/montana/loneman-lookout-trail?ref=result-card,Loneman Lookout Trail,Glacier National Park,4.5,hard,14.2,3861.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,8.33
7520,7526,https://www.alltrails.com/trail/us/wyoming/osprey-falls-bunsen-peak-terrace-mountain-combination?ref=result-card,"Osprey Falls, Bunsen Peak and Terrace Mountain",Yellowstone National Park,4.0,hard,16.2,3789.0,Loop,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'hot springs', 'waterfall', 'rocky', 'scramble', 'fee']",Montana,9.08
7522,7528,https://www.alltrails.com/trail/us/montana/waterton-valley-trail--2?ref=result-card,Waterton Valley Trail,Glacier National Park,4.5,hard,20.2,3769.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'lake', 'river', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,10.68
7536,7542,https://www.alltrails.com/trail/us/montana/west-lakes-trail--2?ref=result-card,West Lakes Trail ,Glacier National Park,3.5,hard,20.1,5137.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'horseback riding', 'nature trips', 'bird watching', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'over grown', 'fee', 'no dogs']",Montana,11.57
7541,7547,https://www.alltrails.com/trail/us/montana/reynolds-mountain-trail?ref=result-card,Reynolds Mountain Trail,Glacier National Park,5.0,hard,5.2,1322.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky']",Montana,2.07
7546,7552,https://www.alltrails.com/trail/us/wyoming/forces-of-the-northern-range-trail?ref=result-card,Forces of the Northern Range Trail,Yellowstone National Park,3.5,easy,0.5,9.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'paved', 'views', 'wildlife', 'fee', 'no dogs']",Montana,0.2
7556,7562,https://www.alltrails.com/trail/us/montana/skiumah-lake-trail?ref=result-card,Skiumah Lake Trail,Glacier National Park,4.0,moderate,3.7,1118.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'lake', 'river', 'views', 'wildlife', 'rocky']",Montana,1.47
7596,7602,https://www.alltrails.com/trail/us/montana/lower-quartz-lake-via-quartz-creek-trail?ref=result-card,Lower Quartz Lake via Quartz Creek Trail ,Glacier National Park,3.0,easy,13.8,1315.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['fishing', 'hiking', 'running', 'forest', 'lake', 'river', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,6.45
7601,7607,https://www.alltrails.com/trail/us/montana/bannock-ski-trail?ref=result-card,Bannock Ski Trail,Yellowstone National Park,4.5,easy,4.8,200.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'cross-country skiing', 'hiking', 'nature trips', 'running', 'dog friendly', 'forest', 'river', 'views', 'wildlife', 'fee']",Montana,2.07
7606,7612,https://www.alltrails.com/trail/us/montana/three-bears-lake-trail?ref=result-card,Three Bears Lake Trail,Glacier National Park,4.0,easy,2.4,183.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'lake', 'views', 'wildlife', 'fee']",Montana,1.08
7627,7633,https://www.alltrails.com/trail/us/montana/macdonald-lake-campground-from-kelly-camp-trailhead?ref=result-card,MacDonald Lake Campground From Kelly Camp Trailhead,Glacier National Park,3.5,easy,9.3,856.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'backpacking', 'camping', 'fishing', 'hiking', 'snowshoeing', 'bird watching', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,3.72
7648,7654,https://www.alltrails.com/trail/us/montana/northern-traverse-chieftan-mountain-to-kintla-lake?ref=result-card,Northern Traverse: Chieftan Mountain to Kintla Lake,Glacier National Park,4.5,hard,54.0,7775.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'lake', 'river', 'views', 'wildlife', 'snow', 'fee', 'no dogs']",Montana,24.0
7649,7655,https://www.alltrails.com/trail/us/wyoming/rose-river-north?ref=result-card,Rose River North,Yellowstone National Park,4.5,moderate,5.9,1069.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'forest', 'views', 'wildflowers', 'fee']",Montana,3.1
7656,7662,https://www.alltrails.com/trail/us/montana/snyder-ridge-trail?ref=result-card,Snyder Ridge Trail,Glacier National Park,3.5,moderate,11.7,2542.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'running', 'lake', 'views', 'wildlife', 'fee', 'no dogs']",Montana,6.43
7657,7663,https://www.alltrails.com/trail/us/montana/fan-creek-trail?ref=result-card,Fan Creek Trail,Yellowstone National Park,4.0,easy,12.2,892.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'backpacking', 'camping', 'fishing', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,5.52
7662,7668,https://www.alltrails.com/trail/us/montana/apikuni-mountain?ref=result-card,Apikuni Mountain,Glacier National Park,3.0,hard,6.4,4104.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'forest', 'views', 'waterfall', 'fee']",Montana,5.35
7667,7673,https://www.alltrails.com/trail/us/montana/bakers-hole-snowshoe?ref=result-card,Bakers Hole Snowshoe Route,Yellowstone National Park,3.5,easy,1.9,26.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['camping', 'nature trips', 'snowshoeing', 'walking', 'bird watching', 'river', 'views', 'wildlife', 'fee']",Montana,0.78
7691,7697,https://www.alltrails.com/trail/us/montana/boiling-river-trail?ref=result-card,Boiling River Trail [CLOSED],Yellowstone National Park,4.5,easy,1.2,75.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'horseback riding', 'nature trips', 'walking', 'bird watching', 'forest', 'hot springs', 'river', 'views', 'wildflowers', 'wildlife', 'closed', 'fee', 'no dogs']",Montana,0.53
7705,7711,https://www.alltrails.com/trail/us/montana/gable-pass-trail-via-otatso-creek?ref=result-card,Gable Pass Trail via Otatso Creek,Glacier National Park,4.0,moderate,30.0,6459.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,24.0
7725,7731,https://www.alltrails.com/trail/us/montana/sky-rim-loop?ref=result-card,Sky Rim Loop,Yellowstone National Park,4.0,hard,30.9,6814.0,Point to point,No Restrictions,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'fee']",Montana,24.0
7728,7734,https://www.alltrails.com/trail/us/montana/fielding-coal-creek-trail?ref=result-card,Fielding Coal Creek Trail,Glacier National Park,5.0,hard,30.4,8408.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,24.0
7763,7769,https://www.alltrails.com/trail/us/montana/painted-tepee-peak-and-cobalt-lake-trail?ref=result-card,Painted Tepee Peak and Cobalt Lake Trail,Glacier National Park,5.0,moderate,16.1,3103.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,8.58
7769,7775,https://www.alltrails.com/trail/us/montana/belly-river-trail-to-foot-glenns-lake?ref=result-card,Belly River Trail to Foot Glenns Lake,Glacier National Park,5.0,moderate,10.5,767.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'muddy', 'snow', 'fee', 'no dogs']",Montana,4.75
7789,7795,https://www.alltrails.com/trail/us/montana/cut-bank-pass-via-pitamakan-trail?ref=result-card,Cut Bank Pass via Pitamakan Trail,Glacier National Park,4.0,hard,29.9,6184.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'river', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Montana,24.0
7801,7807,https://www.alltrails.com/trail/us/montana/fawn-pass-to-fan-creek-trail?ref=result-card,Fawn Pass to Fan Creek Trail,Yellowstone National Park,2.5,moderate,15.9,1233.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'views', 'fee', 'no dogs']",Montana,7.23
7826,7832,https://www.alltrails.com/trail/us/montana/north-fork-flathead-river-paddle?ref=result-card,North Fork Flathead River Paddle,Glacier National Park,3.5,moderate,55.9,262.0,Point to point,No Restrictions,Not Kid Friendly,No Restrictions,"['camping', 'nature trips', 'paddle sports', 'river', 'views', 'fee']",Montana,0.0
7828,7834,https://www.alltrails.com/trail/us/montana/dry-fork-trail?ref=result-card,Dry Fork Trail,Glacier National Park,0.0,moderate,5.4,777.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'running', 'fee', 'no dogs']",Montana,2.7
7850,7856,https://www.alltrails.com/trail/us/montana/daly-creek-to-crescent-lake?ref=result-card,Daly Creek to Crescent Lake,Yellowstone National Park,0.0,hard,28.7,7841.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'views', 'fee', 'no dogs']",Montana,24.0
7968,7974,https://www.alltrails.com/trail/us/texas/indian-head-trail?ref=result-card,Indian Head Trail,Big Bend National Park,4.5,easy,1.9,95.0,Loop,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'no shade', 'fee']",Texas,0.83
8848,8854,https://www.alltrails.com/trail/us/wyoming/delta-lake-via-lupine-meadows-access?ref=result-card,Delta Lake via Lupine Meadows Access,Grand Teton National Park,5.0,hard,7.4,2316.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'lake', 'views', 'wildlife', 'rocky', 'scramble', 'off trail', 'fee', 'no dogs']",Wyoming,5.2
8849,8855,https://www.alltrails.com/trail/us/wyoming/grand-prismatic-hot-spring?ref=result-card,Grand Prismatic Hot Spring,Yellowstone National Park,4.5,easy,1.6,200.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'walking', 'hot springs', 'river', 'views', 'fee', 'no dogs']",Wyoming,0.78
8850,8856,https://www.alltrails.com/trail/us/wyoming/jenny-lake-trail?ref=result-card,Jenny Lake Trail,Grand Teton National Park,4.5,moderate,7.9,623.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'snowshoeing', 'beach', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'snow', 'fee', 'no dogs']",Wyoming,3.18
8851,8857,https://www.alltrails.com/trail/us/wyoming/mystic-falls-fairy-creek-and-little-firehole-loop?ref=result-card,"Mystic Falls, Fairy Creek and Little Firehole Loop",Yellowstone National Park,4.5,moderate,3.5,606.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'hot springs', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,1.82
8852,8858,https://www.alltrails.com/trail/us/wyoming/cascade-canyon-trail?ref=result-card,Cascade Canyon Trail,Grand Teton National Park,5.0,moderate,9.7,1128.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'bugs', 'rocky', 'fee', 'no dogs']",Wyoming,4.67
8853,8859,https://www.alltrails.com/trail/us/wyoming/west-thumb-geyser-basin?ref=result-card,West Thumb Geyser Basin Trail,Yellowstone National Park,4.5,easy,1.0,59.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'beach', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,0.45
8854,8860,https://www.alltrails.com/trail/us/wyoming/taggart-lake-and-bradley-lake?ref=result-card,Taggart Lake and Bradley Lake Loop,Grand Teton National Park,4.5,moderate,6.0,761.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'running', 'forest', 'lake', 'views', 'wildlife', 'snow', 'fee', 'no dogs']",Wyoming,2.93
8855,8861,https://www.alltrails.com/trail/us/wyoming/taggart-lake-loop--2?ref=result-card,Taggart Lake Loop,Grand Teton National Park,4.5,easy,3.8,419.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'horseback riding', 'bird watching', 'running', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'snow', 'fee', 'no dogs']",Wyoming,1.93
8856,8862,https://www.alltrails.com/trail/us/wyoming/phelps-lake-trail?ref=result-card,Phelps Lake Trail,Grand Teton National Park,4.5,moderate,7.0,725.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'bugs', 'fee', 'no dogs']",Wyoming,3.3
8857,8863,https://www.alltrails.com/trail/us/wyoming/inspiration-point-via-jenny-lake-boat-shuttle?ref=result-card,Inspiration Point via Jenny Lake Boat Shuttle,Grand Teton National Park,4.5,moderate,1.8,410.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'lake', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,0.02
8858,8864,https://www.alltrails.com/trail/us/wyoming/bradley-lake-trail?ref=result-card,Bradley Lake Trail,Grand Teton National Park,4.5,moderate,5.1,646.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,2.48
8859,8865,https://www.alltrails.com/trail/us/wyoming/string-lake-trail--6?ref=result-card,String Lake Trail,Grand Teton National Park,4.5,easy,4.4,291.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'beach', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Wyoming,1.78
8860,8866,https://www.alltrails.com/trail/us/wyoming/surprise-and-amphitheater-lakes-trail?ref=result-card,Surprise and Amphitheater Lakes Trail,Grand Teton National Park,5.0,hard,10.1,3001.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['fishing', 'hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'views', 'wildflowers', 'wildlife', 'blowdown', 'rocky', 'snow', 'fee', 'no dogs']",Wyoming,6.05
8861,8867,https://www.alltrails.com/trail/us/wyoming/midway-geyser-basin-trail?ref=result-card,Midway Geyser Basin Trail,Yellowstone National Park,4.5,easy,0.8,55.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'walking', 'hot springs', 'river', 'views', 'fee', 'no dogs']",Wyoming,0.37
8862,8868,https://www.alltrails.com/trail/us/wyoming/upper-geyser-basin-and-old-faithful-observation-point-loop?ref=result-card,Upper Geyser Basin and Old Faithful Observation Point Loop,Yellowstone National Park,4.5,moderate,4.9,357.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'bird watching', 'running', 'hot springs', 'partially paved', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,1.97
8863,8869,https://www.alltrails.com/trail/us/wyoming/avalanche-peak?ref=result-card,Avalanche Peak Trail,Yellowstone National Park,5.0,hard,4.7,2073.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'rock climbing', 'snowshoeing', 'bird watching', 'running', 'forest', 'lake', 'views', 'wildlife', 'rocky', 'fee', 'no dogs']",Wyoming,3.3
8865,8871,https://www.alltrails.com/trail/us/wyoming/grand-canyon-of-the-yellowstone-north-rim?ref=result-card,Canyon Rim North Trail to Inspiration Point,Yellowstone National Park,4.0,moderate,7.9,1148.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'hot springs', 'partially paved', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,3.95
8866,8872,https://www.alltrails.com/trail/us/wyoming/observation-point-loop-trail?ref=result-card,Old Faithful Geyser Loop Trail,Yellowstone National Park,4.5,easy,0.7,16.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'historic site', 'fee', 'no dogs']",Wyoming,0.3
8868,8874,https://www.alltrails.com/trail/us/wyoming/lake-solitude-via-lake-solitude-and-cascade-canyon-trail?ref=result-card,Lake Solitude via Lake Solitude and Cascade Canyon Trail,Grand Teton National Park,5.0,hard,13.7,2375.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'bird watching', 'running', 'forest', 'lake', 'river', 'views', 'wildlife', 'rocky', 'snow', 'fee', 'no dogs']",Wyoming,7.12
8870,8876,https://www.alltrails.com/trail/us/wyoming/fairy-falls--4?ref=result-card,Fairy Falls,Yellowstone National Park,4.5,easy,4.9,216.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'hot springs', 'river', 'waterfall', 'wildflowers', 'wildlife', 'historic site', 'fee', 'no dogs']",Wyoming,2.12
8871,8877,https://www.alltrails.com/trail/us/wyoming/leigh-lake-trail?ref=result-card,Leigh Lake Trail,Grand Teton National Park,4.5,easy,7.0,111.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'beach', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,2.88
8872,8878,https://www.alltrails.com/trail/us/wyoming/garnet-canyon-trail-to-cleft-falls?ref=result-card,Garnet Canyon Trail to Cleft Falls,Grand Teton National Park,5.0,hard,7.7,2260.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'rock climbing', 'bird watching', 'running', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,4.63
8873,8879,https://www.alltrails.com/trail/us/wyoming/mystic-falls--2?ref=result-card,Mystic Falls,Yellowstone National Park,4.5,easy,2.4,147.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'forest', 'river', 'views', 'waterfall', 'wildlife', 'fee', 'no dogs']",Wyoming,1.07
8874,8880,https://www.alltrails.com/trail/us/wyoming/teton-crest-trail--3?ref=result-card,Teton Crest Trail,Grand Teton National Park,5.0,hard,25.7,3828.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'bird watching', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'bugs', 'rocky', 'snow', 'no shade', 'fee', 'no dogs']",Wyoming,24.0
8875,8881,https://www.alltrails.com/trail/us/wyoming/upper-falls-lower-falls-and-crystal-falls-trail?ref=result-card,"Upper Falls, Lower Falls and Crystal Falls Trail",Yellowstone National Park,4.5,moderate,3.8,462.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,1.85
8876,8882,https://www.alltrails.com/trail/us/wyoming/artists-paint-pots?ref=result-card,Artists Paintpots Trail,Yellowstone National Park,4.5,easy,1.0,101.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'hot springs', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,0.47
8877,8883,https://www.alltrails.com/trail/us/wyoming/death-canyon-to-patrol-cabin?ref=result-card,Death Canyon to Patrol Cabin,Grand Teton National Park,4.5,moderate,9.1,2122.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'running', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'bugs', 'fee', 'no dogs']",Wyoming,4.65
8878,8884,https://www.alltrails.com/trail/us/wyoming/fountain-paint-pot-trail?ref=result-card,Fountain Paint Pot Trail,Yellowstone National Park,4.5,easy,0.6,22.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildlife', 'fee', 'no dogs']",Wyoming,0.25
8879,8885,https://www.alltrails.com/trail/us/wyoming/norris-geyser-basin-complete-loop-trail?ref=result-card,Norris Geyser Basin Complete Loop Trail,Yellowstone National Park,4.5,easy,2.9,190.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'hot springs', 'partially paved', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,1.3
8881,8887,https://www.alltrails.com/trail/us/wyoming/lone-star-geyser-trail?ref=result-card,Lone Star Geyser Trail,Yellowstone National Park,4.5,easy,5.3,121.0,Out & back,No Dogs Allowed,Kid Friendly,Ideal For Biking,"['kid friendly', 'hiking', 'mountain biking', 'nature trips', 'walking', 'forest', 'hot springs', 'river', 'fee', 'no dogs']",Wyoming,2.22
8882,8888,https://www.alltrails.com/trail/us/wyoming/colter-bay-lakeshore-trail?ref=result-card,Colter Bay Lakeshore Trail,Grand Teton National Park,4.5,easy,2.5,85.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'running', 'lake', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,1.07
8883,8889,https://www.alltrails.com/trail/us/wyoming/biscuit-basin-interpretive-trail?ref=result-card,Biscuit Basin Interpretive Trail,Yellowstone National Park,4.5,easy,0.7,26.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'bird watching', 'hot springs', 'paved', 'river', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Wyoming,0.3
8884,8890,https://www.alltrails.com/trail/us/wyoming/brink-of-the-lower-falls?ref=result-card,Brink of the Lower Falls Trail,Yellowstone National Park,4.5,moderate,0.8,252.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Wyoming,0.5
8885,8891,https://www.alltrails.com/trail/us/wyoming/leigh-lake-trail-short-version?ref=result-card,Leigh Lake Trail: Short Version,Grand Teton National Park,4.5,easy,2.9,42.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'bird watching', 'forest', 'lake', 'views', 'wildlife', 'fee', 'no dogs']",Wyoming,1.2
8886,8892,https://www.alltrails.com/trail/us/wyoming/schwabachers-landing?ref=result-card,Schwabacher's Landing Trail,Grand Teton National Park,4.5,easy,1.8,22.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'running', 'forest', 'river', 'views', 'wildlife', 'fee', 'no dogs']",Wyoming,0.73
8887,8893,https://www.alltrails.com/trail/us/wyoming/bunsen-peak?ref=result-card,Bunsen Peak,Yellowstone National Park,4.5,moderate,4.4,1282.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'bird watching', 'running', 'forest', 'lake', 'hot springs', 'views', 'wildlife', 'fee', 'no dogs']",Wyoming,2.63
